Общо;брой лица в хиляди;2008Q1;2879.6;
Общо;брой лица в хиляди;2008Q2;2945.3;
Общо;брой лица в хиляди;2008Q3;2986.7;
Общо;брой лица в хиляди;2008Q4;2963.6;
Общо;брой лица в хиляди;2009Q1;2882.6;
Общо;брой лица в хиляди;2009Q2;2881.3;
Общо;брой лица в хиляди;2009Q3;2851.9;
Общо;брой лица в хиляди;2009Q4;2774.5;
Общо;брой лица в хиляди;2010Q1;2668.4;
Общо;брой лица в хиляди;2010Q2;2701.7;
Общо;брой лица в хиляди;2010Q3;2723.1;
Общо;брой лица в хиляди;2010Q4;2661.7;
Общо;брой лица в хиляди;2011Q1;2546.2;
Общо;брой лица в хиляди;2011Q2;2584.0;
Общо;брой лица в хиляди;2011Q3;2660.9;
Общо;брой лица в хиляди;2011Q4;2633.4;
Общо;брой лица в хиляди;2012Q1;2537.4;
Общо;брой лица в хиляди;2012Q2;2576.8;
Общо;брой лица в хиляди;2012Q3;2660.7;
Общо;брой лица в хиляди;2012Q4;2601.3;
Общо;брой лица в хиляди;2013Q1;2532.9;
Общо;брой лица в хиляди;2013Q2;2589.8;
Общо;брой лица в хиляди;2013Q3;2634.4;
Общо;брой лица в хиляди;2013Q4;2557.6;
Общо;брой лица в хиляди;2014Q1;2540.9;
Общо;брой лица в хиляди;2014Q2;2613.3;
Общо;брой лица в хиляди;2014Q3;2669.4;
Общо;брой лица в хиляди;2014Q4;2612.9;
Общо;брой лица в хиляди;2015Q1;2594.2;
Общо;брой лица в хиляди;2015Q2;2646.7;
Общо;брой лица в хиляди;2015Q3;2722.7;
Общо;брой лица в хиляди;2015Q4;2705.2;
Общо;брой лица в хиляди;2016Q1;2622.3;
Общо;брой лица в хиляди;2016Q2;2669.7;
Общо;брой лица в хиляди;2016Q3;2697.3;
Общо;брой лица в хиляди;2016Q4;2662.3;
Общо;брой лица в хиляди;2017Q1;2679.3;
Общо;брой лица в хиляди;2017Q2;2792.4;
Общо;брой лица в хиляди;2017Q3;2839.6;
Общо;брой лица в хиляди;2017Q4;2790.4;
Общо;брой лица в хиляди;2018Q1;2733.5;
Общо;брой лица в хиляди;2018Q2;2785.6;
Общо;брой лица в хиляди;2018Q3;2831.9;
Общо;брой лица в хиляди;2018Q4;2790.6;
Общо;брой лица в хиляди;2019Q1;2789.8;
Общо;брой лица в хиляди;2019Q2;2912.6;
Общо;брой лица в хиляди;2019Q3;2953.3;
Наети на постоянна работа;брой лица в хиляди;2008Q1;2759.6;
Наети на постоянна работа;брой лица в хиляди;2008Q2;2793.8;
