VID;2005;Среден списъчен брой на наети лица по трудово и служебно правоотношение;брой;22642;
VID;2005;Произведена продукция;хиляди левове;258122;
VID;2005;Добавена стойност по факторни разходи;хиляди левове;108333;
VID;2005;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;процент;92.9;
VID;2005;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;процент;5.9;
VID;2005;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;процент;1.0;
VID;2005;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;процент;0.2;
VID;2006;Среден списъчен брой на наети лица по трудово и служебно правоотношение;брой;22333;
VID;2006;Произведена продукция;хиляди левове;319539;
VID;2006;Добавена стойност по факторни разходи;хиляди левове;85287;
VID;2006;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;процент;93.1;
VID;2006;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;процент;5.7;
VID;2006;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;процент;1.0;
VID;2006;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;процент;0.2;
VID;2007;Среден списъчен брой на наети лица по трудово и служебно правоотношение;брой;22121;
VID;2007;Произведена продукция;хиляди левове;357665;
VID;2007;Добавена стойност по факторни разходи;хиляди левове;116509;
VID;2007;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;процент;92.7;
VID;2007;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;процент;5.9;
VID;2007;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;процент;1.2;
VID;2007;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;процент;0.2;
VID;2008;Среден списъчен брой на наети лица по трудово и служебно правоотношение;брой;21986;
VID;2008;Произведена продукция;хиляди левове;389450;
VID;2008;Добавена стойност по факторни разходи;хиляди левове;134919;
VID;2008;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;процент;92.9;
VID;2008;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;процент;5.7;
VID;2008;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;процент;1.1;
VID;2008;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;процент;0.3;
VID;2009;Среден списъчен брой на наети лица по трудово и служебно правоотношение;брой;21193;
VID;2009;Произведена продукция;хиляди левове;365589;
VID;2009;Добавена стойност по факторни разходи;хиляди левове;134706;
VID;2009;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;процент;93.5;
VID;2009;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;процент;5.3;
VID;2009;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;процент;1.1;
VID;2009;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;процент;0.1;
VID;2010;Среден списъчен брой на наети лица по трудово и служебно правоотношение;брой;18359;
VID;2010;Произведена продукция;хиляди левове;382771;
VID;2010;Добавена стойност по факторни разходи;хиляди левове;131338;
VID;2010;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;процент;93.7;
VID;2010;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;процент;5.2;
VID;2010;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;процент;0.9;
VID;2010;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;процент;0.2;
VID;2011;Среден списъчен брой на наети лица по трудово и служебно правоотношение;брой;18322;
VID;2011;Произведена продукция;хиляди левове;428398;
VID;2011;Добавена стойност по факторни разходи;хиляди левове;153323;
VID;2011;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;процент;93.6;
